epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2569,1.90794,3.64564,1.94895,0.01251,0.62469,0.06971,0.02239,1.95182,4.01308,2.18416,0.000175,0.000175,0.000175
2,25.9129,1.76612,2.97199,1.86264,0.01606,0.64742,0.12746,0.05151,1.82206,3.86733,2.09988,0.000355322,0.000355322,0.000355322
3,35.9249,1.7268,2.65227,1.84169,0.54319,0.31618,0.13028,0.04571,1.96122,3.70147,2.39872,0.00052822,0.00052822,0.00052822
4,45.0124,1.72067,2.41419,1.85446,0.90199,0.14706,0.31693,0.10627,1.9214,3.44705,2.31786,0.000693692,0.000693692,0.000693692
5,54.2222,1.6653,2.35418,1.78421,0.95368,0.16176,0.27898,0.09009,1.94319,3.15991,2.46512,0.00085174,0.00085174,0.00085174
6,64.9233,1.72914,2.24329,1.79461,0.62343,0.1578,0.25662,0.09479,1.93073,3.02589,2.42442,0.00100236,0.00100236,0.00100236
7,74.1974,1.71948,2.09692,1.77316,0.53121,0.32054,0.23901,0.10256,2.05964,3.27543,2.47613,0.0011015,0.0011015,0.0011015
8,83.7683,1.70743,2.07944,1.75932,0.55601,0.36854,0.29989,0.09646,2.25737,3.19089,2.84801,0.00107675,0.00107675,0.00107675
9,93.4017,1.74687,2.0327,1.78682,0.85101,0.30441,0.35179,0.13765,2.15953,3.18328,2.52024,0.001052,0.001052,0.001052
10,103.386,1.6824,1.9918,1.77122,0.63835,0.3299,0.35158,0.12038,2.05397,3.33629,2.41879,0.00102725,0.00102725,0.00102725
11,112.61,1.64084,1.84293,1.69478,0.65669,0.43857,0.44958,0.1731,1.98284,2.50941,2.35026,0.0010025,0.0010025,0.0010025
12,121.91,1.69344,1.84772,1.73543,0.72522,0.45917,0.47402,0.18031,2.01857,2.5952,2.54588,0.00097775,0.00097775,0.00097775
13,131.104,1.66904,1.85135,1.72099,0.61913,0.56228,0.44587,0.16486,2.09372,2.68489,2.44357,0.000953,0.000953,0.000953
14,140.379,1.62933,1.71901,1.6538,0.84293,0.48505,0.52112,0.22463,2.03952,2.3092,2.2928,0.00092825,0.00092825,0.00092825
15,149.91,1.64485,1.72103,1.67738,0.8575,0.39167,0.50354,0.21632,2.00002,2.24647,2.33765,0.0009035,0.0009035,0.0009035
16,159.533,1.58452,1.6682,1.66121,0.83186,0.48598,0.53199,0.21691,2.05884,2.14241,2.3454,0.00087875,0.00087875,0.00087875
17,168.601,1.59459,1.72087,1.67031,0.84909,0.46529,0.50514,0.21371,2.01641,2.30008,2.24277,0.000854,0.000854,0.000854
18,177.822,1.64966,1.67771,1.67759,0.73819,0.28147,0.35358,0.13073,2.13064,2.45247,2.34055,0.00082925,0.00082925,0.00082925
19,187.432,1.57043,1.64577,1.61212,0.87867,0.43372,0.52866,0.21705,2.00531,1.92288,2.23861,0.0008045,0.0008045,0.0008045
20,197.035,1.52351,1.50703,1.56775,0.78314,0.46973,0.51787,0.20459,2.07517,2.118,2.24834,0.00077975,0.00077975,0.00077975
21,206.282,1.5219,1.49679,1.59476,0.83555,0.45026,0.50127,0.21399,2.003,1.9707,2.23954,0.000755,0.000755,0.000755
22,215.625,1.55188,1.52579,1.63615,0.80073,0.46424,0.49745,0.19455,2.16883,2.15836,2.28668,0.00073025,0.00073025,0.00073025
23,225.44,1.52372,1.46779,1.57949,0.78083,0.5085,0.54497,0.2188,1.95772,1.82912,2.1992,0.0007055,0.0007055,0.0007055
24,234.854,1.55411,1.42907,1.61167,0.77562,0.53513,0.55569,0.21552,1.9471,1.92473,2.1581,0.00068075,0.00068075,0.00068075
25,244.993,1.51358,1.40645,1.5926,0.81399,0.46519,0.52198,0.19122,2.0322,1.987,2.21314,0.000656,0.000656,0.000656
26,255.586,1.42819,1.37422,1.52567,0.71425,0.4696,0.51664,0.21529,2.00937,1.89638,2.29349,0.00063125,0.00063125,0.00063125
27,265.618,1.40727,1.34743,1.51501,0.78709,0.50707,0.5368,0.214,2.02533,1.8179,2.28987,0.0006065,0.0006065,0.0006065
28,276.068,1.4975,1.35793,1.52334,0.83405,0.49085,0.54174,0.2302,2.01073,1.7414,2.25822,0.00058175,0.00058175,0.00058175
29,286.342,1.45315,1.30441,1.55695,0.87285,0.4854,0.55266,0.22253,2.01646,1.72139,2.27934,0.000557,0.000557,0.000557
30,296.889,1.42585,1.30511,1.51698,0.8595,0.50013,0.52366,0.22599,1.9962,1.73917,2.29791,0.00053225,0.00053225,0.00053225
31,307.191,1.40303,1.26125,1.51953,0.83517,0.50686,0.54817,0.22053,2.02288,1.76221,2.26939,0.0005075,0.0005075,0.0005075
32,317.758,1.4338,1.24417,1.49418,0.8127,0.46391,0.50909,0.21176,1.9548,1.76776,2.18741,0.00048275,0.00048275,0.00048275
33,327.488,1.42176,1.28441,1.52021,0.86252,0.48474,0.55167,0.22714,1.95781,1.76582,2.20215,0.000458,0.000458,0.000458
34,336.987,1.36028,1.17252,1.46636,0.82104,0.56394,0.57776,0.24806,2.01418,1.74607,2.28002,0.00043325,0.00043325,0.00043325
35,346.232,1.38945,1.1754,1.47031,0.77748,0.51494,0.5446,0.2348,2.05402,1.76507,2.26149,0.0004085,0.0004085,0.0004085
36,355.792,1.36374,1.1795,1.48483,0.77049,0.56061,0.52359,0.22528,1.96702,1.625,2.22663,0.00038375,0.00038375,0.00038375
37,365.529,1.36835,1.17239,1.4676,0.82517,0.54357,0.52558,0.22841,2.00871,1.67465,2.27501,0.000359,0.000359,0.000359
38,375.322,1.34215,1.17451,1.48219,0.84106,0.55393,0.61168,0.25702,2.07693,1.70413,2.34765,0.00033425,0.00033425,0.00033425
39,384.854,1.32874,1.12648,1.43848,0.8877,0.55686,0.61596,0.27129,2.06418,1.67837,2.32523,0.0003095,0.0003095,0.0003095
40,394.517,1.32717,1.15667,1.4455,0.93287,0.52322,0.59378,0.28046,2.02409,1.71671,2.26054,0.00028475,0.00028475,0.00028475
41,445.068,1.29648,1.16345,1.51045,0.85853,0.5261,0.5682,0.25263,2.03094,1.7529,2.27839,0.00026,0.00026,0.00026
42,455.012,1.24238,1.08361,1.48726,0.84246,0.5299,0.5834,0.24081,2.13105,1.80062,2.37566,0.00023525,0.00023525,0.00023525
43,464.107,1.22185,1.0596,1.46722,0.83283,0.60261,0.61948,0.27023,2.04971,1.67022,2.2984,0.0002105,0.0002105,0.0002105
44,473.472,1.16134,0.99158,1.45602,0.87299,0.59764,0.63094,0.27258,2.02169,1.55372,2.27936,0.00018575,0.00018575,0.00018575
45,483.426,1.19468,0.98951,1.46211,0.89896,0.55875,0.61196,0.26394,2.02911,1.55862,2.28326,0.000161,0.000161,0.000161
