epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0187,1.66046,3.30984,1.76374,0.73808,0.26764,0.28089,0.15988,1.81875,3.16087,2.02033,0.000300651,0.000300651,0.000300651
2,72.0722,1.62721,2.36565,1.72513,0.73548,0.37812,0.45889,0.25469,1.82164,2.54382,2.02764,0.000591699,0.000591699,0.000591699
3,106.81,1.60872,2.114,1.69278,0.7036,0.52324,0.53707,0.29412,1.70687,2.61815,1.9261,0.000870748,0.000870748,0.000870748
4,141.97,1.59881,2.02084,1.69106,0.59158,0.49433,0.47849,0.2625,1.76676,2.4576,2.02171,0.000855005,0.000855005,0.000855005
5,176.859,1.52139,1.85681,1.62878,0.77428,0.55115,0.58696,0.34851,1.65163,1.99244,1.91859,0.000837007,0.000837007,0.000837007
6,211.954,1.45666,1.70525,1.57944,0.78602,0.53035,0.59149,0.32601,1.81608,1.94986,2.01079,0.000819009,0.000819009,0.000819009
7,246.831,1.47147,1.63616,1.58563,0.74498,0.51898,0.56713,0.31899,1.67634,1.79027,1.8634,0.000801011,0.000801011,0.000801011
8,281.348,1.42879,1.57928,1.54976,0.85326,0.57068,0.62761,0.36248,1.61962,1.6488,1.8461,0.000783013,0.000783013,0.000783013
9,315.969,1.4149,1.50358,1.54887,0.7909,0.58107,0.61534,0.35527,1.67148,1.74522,1.91088,0.000765014,0.000765014,0.000765014
10,350.261,1.39991,1.42487,1.53495,0.88473,0.58934,0.65297,0.37962,1.59104,1.50613,1.80543,0.000747016,0.000747016,0.000747016
11,385.106,1.37864,1.38456,1.5147,0.82081,0.64048,0.67459,0.37905,1.56043,1.47205,1.79591,0.000729018,0.000729018,0.000729018
12,420.981,1.31709,1.29076,1.47585,0.84689,0.59331,0.66648,0.38989,1.61286,1.43232,1.83336,0.00071102,0.00071102,0.00071102
13,456.089,1.32665,1.28568,1.45925,0.64967,0.63193,0.67219,0.38423,1.54703,1.45576,1.76194,0.000693022,0.000693022,0.000693022
14,491.186,1.29862,1.22389,1.43789,0.61612,0.63017,0.64303,0.39551,1.5577,1.40918,1.78127,0.000675023,0.000675023,0.000675023
15,526.259,1.2724,1.18738,1.42545,0.66144,0.64142,0.64924,0.38769,1.57075,1.36649,1.81219,0.000657025,0.000657025,0.000657025
16,561.483,1.2408,1.17908,1.40805,0.86628,0.61283,0.68839,0.40455,1.56438,1.34714,1.77284,0.000639027,0.000639027,0.000639027
17,596.679,1.23517,1.13026,1.38356,0.75002,0.65051,0.69137,0.41658,1.56686,1.31275,1.7811,0.000621029,0.000621029,0.000621029
18,632.32,1.23187,1.08422,1.38677,0.68746,0.66833,0.69769,0.4155,1.56426,1.29682,1.77124,0.000603031,0.000603031,0.000603031
19,674.198,1.19982,1.05175,1.37814,0.7604,0.63644,0.70316,0.41968,1.57319,1.20295,1.78803,0.000585032,0.000585032,0.000585032
20,716.562,1.23476,1.06054,1.39619,0.762,0.66712,0.70509,0.4308,1.57698,1.23775,1.78522,0.000567034,0.000567034,0.000567034
21,753.631,1.1879,1.01944,1.35456,0.70402,0.6617,0.6684,0.41405,1.573,1.23592,1.80845,0.000549036,0.000549036,0.000549036
22,797.122,1.17909,1.03184,1.37682,0.92317,0.64935,0.69649,0.42417,1.5455,1.22712,1.76965,0.000531038,0.000531038,0.000531038
23,833.127,1.14985,0.986,1.3342,0.88557,0.65556,0.72293,0.43327,1.55093,1.17489,1.76185,0.00051304,0.00051304,0.00051304
